"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2025","YEAR","","COUNTY","COLORADO","08","","99","OTHER COUNTIES","","","","00000000","","RENT","RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","115","0.0"
"SURVEY","2025","YEAR","","COUNTY","COLORADO","08","","99","OTHER COUNTIES","","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","20.5","57.4"
"SURVEY","2025","YEAR","","COUNTY","COLORADO","08","EAST CENTRAL","60","ADAMS","001","","","00000000","","RENT","RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","142","10.0"
"SURVEY","2025","YEAR","","COUNTY","COLORADO","08","EAST CENTRAL","60","ADAMS","001","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","19.5","5.0"
"SURVEY","2025","YEAR","","COUNTY","COLORADO","08","EAST CENTRAL","60","ARAPAHOE","005","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","14","7.7"
"SURVEY","2025","YEAR","","COUNTY","COLORADO","08","EAST CENTRAL","60","CHEYENNE","017","","","00000000","","RENT","RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","170","7.2"
"SURVEY","2025","YEAR","","COUNTY","COLORADO","08","EAST CENTRAL","60","CHEYENNE","017","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","29","6.1"
"SURVEY","2025","YEAR","","COUNTY","COLORADO","08","EAST CENTRAL","60","KIOWA","061","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","25","6.6"
"SURVEY","2025","YEAR","","COUNTY","COLORADO","08","EAST CENTRAL","60","KIT CARSON","063","","","00000000","","RENT","RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","173","6.0"
"SURVEY","2025","YEAR","","COUNTY","COLORADO","08","EAST CENTRAL","60","KIT CARSON","063","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","38","4.3"
"SURVEY","2025","YEAR","","COUNTY","COLORADO","08","EAST CENTRAL","60","LINCOLN","073","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","29","6.1"
"SURVEY","2025","YEAR","","COUNTY","COLORADO","08","EAST CENTRAL","60","PHILLIPS","095","","","00000000","","RENT","RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","246","4.4"
"SURVEY","2025","YEAR","","COUNTY","COLORADO","08","EAST CENTRAL","60","PHILLIPS","095","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","45.5","4.0"
"SURVEY","2025","YEAR","","COUNTY","COLORADO","08","EAST CENTRAL","60","WASHINGTON","121","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","38","4.7"
"SURVEY","2025","YEAR","","COUNTY","COLORADO","08","EAST CENTRAL","60","YUMA","125","","","00000000","","RENT","RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","262","5.9"
"SURVEY","2025","YEAR","","COUNTY","COLORADO","08","EAST CENTRAL","60","YUMA","125","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","45","3.6"
"SURVEY","2025","YEAR","","COUNTY","COLORADO","08","NORTHEAST","20","BOULDER","013","","","00000000","","RENT","RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","86.5","5.2"
"SURVEY","2025","YEAR","","COUNTY","COLORADO","08","NORTHEAST","20","BOULDER","013","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","49","3.7"
"SURVEY","2025","YEAR","","COUNTY","COLORADO","08","NORTHEAST","20","LARIMER","069","","","00000000","","RENT","RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","200","6.6"
"SURVEY","2025","YEAR","","COUNTY","COLORADO","08","NORTHEAST","20","LARIMER","069","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","38","12.3"
"SURVEY","2025","YEAR","","COUNTY","COLORADO","08","NORTHEAST","20","LOGAN","075","","","00000000","","RENT","RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","224","5.7"
"SURVEY","2025","YEAR","","COUNTY","COLORADO","08","NORTHEAST","20","LOGAN","075","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","35.5","4.0"
"SURVEY","2025","YEAR","","COUNTY","COLORADO","08","NORTHEAST","20","MORGAN","087","","","00000000","","RENT","RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","182","6.7"
"SURVEY","2025","YEAR","","COUNTY","COLORADO","08","NORTHEAST","20","MORGAN","087","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","34.5","5.1"
"SURVEY","2025","YEAR","","COUNTY","COLORADO","08","NORTHEAST","20","SEDGWICK","115","","","00000000","","RENT","RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","177","6.8"
"SURVEY","2025","YEAR","","COUNTY","COLORADO","08","NORTHEAST","20","SEDGWICK","115","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","44.5","4.8"
"SURVEY","2025","YEAR","","COUNTY","COLORADO","08","NORTHEAST","20","WELD","123","","","00000000","","RENT","RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","202","5.6"
"SURVEY","2025","YEAR","","COUNTY","COLORADO","08","NORTHWEST AND MOUNTAIN","10","CHAFFEE","015","","","00000000","","RENT","RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","52","13.4"
"SURVEY","2025","YEAR","","COUNTY","COLORADO","08","NORTHWEST AND MOUNTAIN","10","GUNNISON","051","","","00000000","","RENT","RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","44","6.7"
"SURVEY","2025","YEAR","","COUNTY","COLORADO","08","NORTHWEST AND MOUNTAIN","10","PARK","093","","","00000000","","RENT","RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","32","5.2"
"SURVEY","2025","YEAR","","COUNTY","COLORADO","08","NORTHWEST AND MOUNTAIN","10","RIO BLANCO","103","","","00000000","","RENT","RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","110","21.5"
"SURVEY","2025","YEAR","","COUNTY","COLORADO","08","NORTHWEST AND MOUNTAIN","10","RIO BLANCO","103","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","12.5","9.2"
"SURVEY","2025","YEAR","","COUNTY","COLORADO","08","NORTHWEST AND MOUNTAIN","10","ROUTT","107","","","00000000","","RENT","RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","42","4.8"
"SURVEY","2025","YEAR","","COUNTY","COLORADO","08","NORTHWEST AND MOUNTAIN","10","ROUTT","107","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","14","7.7"
